Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,Augie’s,https://www.yelp.com/adredir?ad_business_id=QA5F-qULYIAsn7Clo8EhyQ&campaign_id=vILRL1Ys5y2-rvtBdDY2Lw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Faugies-prescott-6&request_id=17405b3bbe2ef2f6&signature=2c4791dda702eb4e57e071d7934b3dbc590a11368da3ce8ecd44ec2136fdbd6a&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-prescott?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,McDonald’s,https://www.yelp.com/adredir?ad_business_id=Rfud0XO16Q31zPXDZd7QTQ&campaign_id=-0niz2kvG1dq7AMZshi5sw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmcdonalds-prescott-7&request_id=17405b3bbe2ef2f6&signature=d69b4e3193df870cb13edd20c58d8244ac3e4d0f033ea5dc326d8c29a1868f39&slot=1,Prescott Brewing Company,https://www.yelp.com/biz/prescott-brewing-company-prescott?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Augie’s,https://www.yelp.com/biz/augies-prescott-6?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good For,"Lunch, Dinner",,,,
Sat,11:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 11:00 pm,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,Mon,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
