Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Bob Evans,https://www.yelp.com/adredir?ad_business_id=L03GcUHC00Wdzpfv_5dCsQ&campaign_id=ebLE8eIxRmS8XVG9aN20jQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbob-evans-columbus-17&request_id=3a86c0f4adc3ac5e&signature=1ed81197b43bf506e282adecc5a8caa0d01c3e9f3285fe2484518a2c7fc14a85&slot=0,SC Bar & Kitchen,https://www.yelp.com/biz/sc-bar-and-kitchen-reynoldsburg?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Abuelo’s,https://www.yelp.com/adredir?ad_business_id=zIxkJZmj6tJQTBbtsVyq7g&campaign_id=7v0SxzifRjisCgTecsRWZA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fabuelos-columbus&request_id=3a86c0f4adc3ac5e&signature=529eb63457f4825f01b057f84b263bf83d812d6dc528c29e96c1804e2181ca8e&slot=1,Waffle House,https://www.yelp.com/biz/waffle-house-reynoldsburg-2?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Flavor 91 Burger Bistro,https://www.yelp.com/biz/flavor-91-burger-bistro-whitehall?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Good For,"Dinner, Dessert",,,,
Sat,11:00 am - 1:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 12:00 am,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
