Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Deli Delicious,https://www.yelp.com/adredir?ad_business_id=gph8sJP-ZbBOezXtfnY1kg&campaign_id=MqiwcawbSELIIVlulEYYyQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdeli-delicious-manteca&request_id=ed04f9b426322c6b&signature=54e1338c536cbf94584f415f7f35261bf06e639232c7c9e18471e5e562027edc&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-tracy?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Mazaa Kabob House,https://www.yelp.com/adredir?ad_business_id=EuoJi-EHyAXjjkm7j6FJOA&campaign_id=CCgzrEx1ErRlNua-Em35sg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmazaa-kabob-house-tracy&request_id=ed04f9b426322c6b&signature=2559f2f3ca7789449a505febb26ab7d7e98e15fd1ad651e7e0d2d2c113bf561e&slot=1,Original Mels Diner,https://www.yelp.com/biz/original-mels-diner-tracy?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Black Bear Diner,https://www.yelp.com/biz/black-bear-diner-tracy?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 1:00 am,Good For,"Dinner, Late Night, Dessert",,,,
Sun,11:00 am - 12:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
