Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Tea Drops,https://www.yelp.com/adredir?ad_business_id=h1pkR-cvmlDcy2y5YnSztw&campaign_id=_XrEwAJpPRe4O8-XVOHezw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftea-drops-kansas-city&request_id=fd8c77c31fd2324a&signature=cb29f8bd9df5b4bbcfc41dcd59bd631de5c6dcb3e2121efd7552009550664211&slot=0,Jack Stack Barbecue - Plaza,https://www.yelp.com/biz/jack-stack-barbecue-plaza-kansas-city-2?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,The Jacobson,https://www.yelp.com/adredir?ad_business_id=FP1hhBqLfp8DW9LDNaAH4Q&campaign_id=H4JfgulizctvNcLonluKcQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-jacobson-kansas-city&request_id=fd8c77c31fd2324a&signature=5719ba6cc30a7398a3503ef3870c227c9aaed01a7e8992753a07c53bda7df20f&slot=1,The Oliver,https://www.yelp.com/biz/the-oliver-kansas-city?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Nick And Jake’s,https://www.yelp.com/biz/nick-and-jakes-kansas-city?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:30 am,Good For,"Lunch, Dinner, Dessert",,,,
Sat,10:00 am - 12:30 am,Parking,Garage,,,,
Sun,10:00 am - 11:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
