Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Kooky Canuck,https://www.yelp.com/adredir?ad_business_id=cnjiy87_BDcd5zMUn8wzew&campaign_id=0dzTsGbgkUMYmobFsz8aJw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkooky-canuck-cordova-3&request_id=bf62c4ede1bbb7c7&signature=e4c6a30288f44a1244a6fb60ea34f3d93c24913822ae76e14c43146828bea54a&slot=0,J. Alexander’s Redlands Grill,https://www.yelp.com/biz/j-alexanders-redlands-grill-memphis?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Skimo’s Restaurant and Bar,https://www.yelp.com/adredir?ad_business_id=Axe55nl6ZdojQtzEyKrvdA&campaign_id=5cvJT-siJQ6F_erml-uWPA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fskimos-restaurant-and-bar-cordova&request_id=bf62c4ede1bbb7c7&signature=7cdf672882f42915d6286961cb42e4265c4dfad9dfceabe07c15a9e04e021bde&slot=1,Bahama Breeze,https://www.yelp.com/biz/bahama-breeze-memphis?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Firebirds Wood Fired Grill,https://www.yelp.com/biz/firebirds-wood-fired-grill-bartlett?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:30 am,Accepts Apple Pay,Yes,,,,
Sat,10:00 am - 12:30 am,Good For,"Brunch, Lunch, Dinner, Dessert",,,,
Sun,10:00 am - 11:00 pm,Parking,Private Lot,,,,
,,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
