Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Tanzy,https://www.yelp.com/adredir?ad_business_id=5sTFevXhGx01eLT4wF7Urg&campaign_id=2unhj2AjboDkZcmJLTXHtw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftanzy-scottsdale&request_id=9653e39af4f4bd37&signature=9de5c5f4c2aa418b913ba84955009a2cf48fe55b808dee4712aa690ef9f3bf7e&slot=0,True Food Kitchen,https://www.yelp.com/biz/true-food-kitchen-phoenix?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,T Cook’s,https://www.yelp.com/adredir?ad_business_id=pTZ4u-sEQr-yHq2Cl4EMEw&campaign_id=cAkxX9GnrHsDdJxovifWXA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ft-cooks-phoenix-4&request_id=9653e39af4f4bd37&signature=f754944a5b5ac9c32faa2826c715d0f8ca5065d3be671c0e17fe1269b71d013d&slot=1,Ten Handcrafted American Fare & Spirits,https://www.yelp.com/biz/ten-handcrafted-american-fare-and-spirits-phoenix?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,The Gladly,https://www.yelp.com/biz/the-gladly-phoenix?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,10:00 am - 12:00 am,Accepts Android Pay,No,,,,
Sun,10:00 am - 11:00 pm,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
