Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:30 am - 11:00 pm,Takes Reservations,No,Jasper’s Backyard,https://www.yelp.com/adredir?ad_business_id=xiBnTS5DPVMlySrCpF59Ow&campaign_id=qdBPAQ1AGewyDvErp6PKmw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjaspers-backyard-conshohocken&request_id=b7aa88c8bec7bc6c&signature=f99f4a3213872e7057e8dd8bddc90147de1920f4135cf0df6742a3ea2fc92603&slot=0,Bonefish Grill,https://www.yelp.com/biz/bonefish-grill-willow-grove?page_src=related_bizes
Tue,11:30 am - 11:00 pm,Delivery,No,Saladworks,https://www.yelp.com/adredir?ad_business_id=1U7HlOogq3j16jdNWZXljg&campaign_id=14TWTFR2ldjFLooWgXYxpQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsaladworks-feasterville&request_id=b7aa88c8bec7bc6c&signature=4fe6ab72eee262b1a7ba201721d93162b96e9080eb55ffbdae18a79af0c37704&slot=1,Brick House Tavern + Tap,https://www.yelp.com/biz/brick-house-tavern-tap-willow-grove-2?page_src=related_bizes
Wed,11:30 am - 11:00 pm,Take-out,Yes,,,Nadia’s Thai,https://www.yelp.com/biz/nadias-thai-willow-grove?page_src=related_bizes
Thu,11:30 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:30 am - 12:30 am,Accepts Apple Pay,No,,,,
Sat,10:00 am - 12:30 am,Accepts Android Pay,No,,,,
Sun,10:00 am - 11:00 pm,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Wheelchair Accessible,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
