Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Godfathers pizza at Dolphin world,https://www.yelp.com/adredir?ad_business_id=Yhd93B-Z_oAGJHvweU6fKg&campaign_id=Ze5TQU8ojUGOL9TAvgYEeA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgodfathers-pizza-at-dolphin-world-galveston&request_id=dda71d5ee09c29a2&signature=92c87740eb9cedb6ce7c1094b4787e59edddf25a142bba4a7c447080eeed09e7&slot=0,Taquilo’s,https://www.yelp.com/biz/taquilos-galveston?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,,,Huli Huli Hut,https://www.yelp.com/biz/huli-huli-hut-galveston-2?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Farley Girls Cafe,https://www.yelp.com/biz/farley-girls-cafe-galveston?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Parking,Private Lot,,,,
Sun,11:00 am - 10:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
