Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,No,Petits Plats,https://www.yelp.com/adredir?ad_business_id=ur017_3gRmCt4e3tHWjBLQ&campaign_id=AuKtZ9zsWY2gXBvfCH2roQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpetits-plats-washington&request_id=e3505caf8485cd23&signature=fa4c290e3fb5405177bec8b375838d3f717d26728339a74bcd322992fa5c9372&slot=0,,
,,Delivery,No,Arosto Pizza - Dunn Loring Station,https://www.yelp.com/adredir?ad_business_id=-VD0z7WYCD4P3hlNXd7abQ&campaign_id=0LVreF5zrzHMotmVlDTyQw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Farosto-pizza-dunn-loring-station-vienna-2&request_id=e3505caf8485cd23&signature=275563db144a805cb33d435a05fbbf2f9db4f45b3948e6b0d9a58eb9c9899f51&slot=1,,
,,Take-out,Yes,,,,
,,Accepts Credit Cards,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,No,,,,
,,Has TV,Yes,,,,
