Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,No,Los Aztecas Mexican Restaurant,https://www.yelp.com/adredir?ad_business_id=PhjqdHyThp2zVIyl40XZtA&campaign_id=xd2fxQNKRVM1WLiirmiZWA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Flos-aztecas-mexican-restaurant-prospect-3&request_id=81fe518ab5d1581f&signature=ca23f5ea06e14d039a1622f27dbe994a159ddd17a8b977207169b02f84ed167f&slot=0,Chili’s,https://www.yelp.com/biz/chilis-louisville?page_src=related_bizes
,,Delivery,No,Shiraz Mediterranean Grill,https://www.yelp.com/adredir?ad_business_id=ussPxVib3CgC76p6ALmcRg&campaign_id=7gtGHRJab1OI0OQH3JZdRA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fshiraz-mediterranean-grill-louisville-3&request_id=81fe518ab5d1581f&signature=bda0edb908e3c4a07a0e4f5001484e9e535ad62321cfd699e817694dac85ace1&slot=1,Old Louisville Tavern,https://www.yelp.com/biz/old-louisville-tavern-louisville-2?page_src=related_bizes
,,Take-out,Yes,,,JB’s Pub,https://www.yelp.com/biz/jbs-pub-louisville?page_src=related_bizes
,,Accepts Credit Cards,Yes,,,,
,,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,No,,,,
,,Attire,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
