Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,The Thirsty Marlin,https://www.yelp.com/adredir?ad_business_id=_A2YtPqLxss0uLhRey5yCw&campaign_id=XrHC6pgeB-H9S8YrAzdrBQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-thirsty-marlin-palm-harbor&request_id=bfda155605025f56&signature=db6934fffe1931408908dedb7ccc8edcbf0d8d578cb17626f2ae2446d84eb746&slot=0,Zim Zari,https://www.yelp.com/biz/zim-zari-trinity?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Fin’s,https://www.yelp.com/adredir?ad_business_id=1gbTusC1PP8S84lp7TUxrA&campaign_id=Cp6Jv3nC-5FpR2eEjDyOKQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffins-palm-harbor&request_id=bfda155605025f56&signature=6374417efa262f427a33ca9e9c033482591128650f4dadc6438e27d097bc2dae&slot=1,BurgerFi,https://www.yelp.com/biz/burgerfi-new-port-richey?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Christo’s,https://www.yelp.com/biz/christos-trinity?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Accepts Android Pay,Yes,,,,
Sun,11:00 am - 11:00 pm,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
