Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:30 pm,Takes Reservations,No,Moose Hill Cantina,https://www.yelp.com/adredir?ad_business_id=EN4Cn0svW0ermUjL4zazUA&campaign_id=EFG0fsjBj3txZdpFwtwkIg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmoose-hill-cantina-lakewood-2&request_id=b0e7281af9c5961b&signature=c661fa24ae91ea59ad0f989e711b7b0d8bdfdcc240a37bc0727f4b318dd3cfc6&slot=0,Aspen Lodge Bar & Grill,https://www.yelp.com/biz/aspen-lodge-bar-and-grill-westminster?page_src=related_bizes
Tue,11:00 am - 10:30 pm,Delivery,No,Rails End Beer Company,https://www.yelp.com/adredir?ad_business_id=Rqt8hZ-7SkOyiNEBJtwFGg&campaign_id=ueFwzXzivUxwI3peNzpPMA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frails-end-beer-company-broomfield-2&request_id=b0e7281af9c5961b&signature=e629e89a50374be22821e5917182e3f3a0ff76cc9c89f31f4c5434e0336c18ec&slot=1,Black-eyed Pea,https://www.yelp.com/biz/black-eyed-pea-westminster?page_src=related_bizes
Wed,11:00 am - 10:30 pm,Take-out,Yes,,,Bout Time Pub & Grub,https://www.yelp.com/biz/bout-time-pub-and-grub-arvada?page_src=related_bizes
Thu,11:00 am - 10:30 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 10:30 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,"Wed, Fri, Sat",,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
