Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,10:30 am - 10:00 pm,Takes Reservations,No,Izakaya Kei,https://www.yelp.com/adredir?ad_business_id=M2a9ofX8rX2N1GhjClvOaw&campaign_id=i91iCl5PsldJU2_ztr8VpA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fizakaya-kei-aiea-6&request_id=cd590cf1637b30ae&signature=c3d008deb52d9b143cc1c5c98dc0000667e609134d02a88d29e75f53d05cc6b5&slot=0,Bravo Restaurant,https://www.yelp.com/biz/bravo-restaurant-aiea?page_src=related_bizes
Tue,10:30 am - 10:00 pm,Delivery,No,Uncle’s Fish Market & Grill,https://www.yelp.com/adredir?ad_business_id=z9L3cPAIhX6hm6-hE1kbLw&campaign_id=3Bd_wag5oY89fbn9Knes6A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Funcles-fish-market-and-grill-honolulu&request_id=cd590cf1637b30ae&signature=cf00124ec6236268f61893609dc1ebd4956e639db365d4dac794325cbb7b931b&slot=1,Chili’s,https://www.yelp.com/biz/chilis-aiea-4?page_src=related_bizes
Wed,10:30 am - 10:00 pm,Take-out,Yes,,,Boston’s Pizza Aiea,https://www.yelp.com/biz/bostons-pizza-aiea-aiea-5?page_src=related_bizes
Thu,10:30 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,10:30 am - 10:00 pm,Accepts Apple Pay,No,,,,
Sat,10:30 am - 10:00 pm,Accepts Android Pay,No,,,,
Sun,10:30 am - 10:00 pm,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,Garage,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
