Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Delivery,No,,,La Europea,https://www.yelp.com/biz/la-europea-canc%C3%BAn?page_src=related_bizes
,,Take-out,Yes,,,Sky Zone,https://www.yelp.com/biz/sky-zone-canc%C3%BAn-3?page_src=related_bizes
,,Accepts Credit Cards,Yes,,,Mora Mora,https://www.yelp.com/biz/mora-mora-canc%C3%BAn?page_src=related_bizes
,,Good For,Lunch,,,,
,,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Quiet,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
