Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Take-out,Yes,,,La Re Pizza,https://www.yelp.com/biz/la-re-pizza-m%C3%A9xico-4?page_src=related_bizes
,,Accepts Credit Cards,Yes,,,Cancino,https://www.yelp.com/biz/cancino-m%C3%A9xico-6?page_src=related_bizes
,,Bike Parking,Yes,,,Central de Pizzas,https://www.yelp.com/biz/central-de-pizzas-m%C3%A9xico-2?page_src=related_bizes
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Alcohol,Beer & Wine Only,,,,
,,Outdoor Seating,Yes,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
