Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Kasra Persian Grill,https://www.yelp.com/adredir?ad_business_id=YFcGZIQdarmuxUufzS_a1Q&campaign_id=Pal9yNuRmCzUEceX828_ew&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkasra-persian-grill-houston-2&request_id=996fa573d0b95870&signature=f64d077f6521dd2f0247924e98f897508b517601b5f682550d179635a057524b&slot=0,North Italia,https://www.yelp.com/biz/north-italia-houston?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Russo’s New York Pizzeria,https://www.yelp.com/adredir?ad_business_id=X17pYeln-IFO_93AdItZ3Q&campaign_id=LfFt1xmp20pfVSAlk419gw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frussos-new-york-pizzeria-houston-11&request_id=996fa573d0b95870&signature=ba2edf9a9a6d49e4e949aabf45d11a0bfc8bce02209682ade033080c83847b30&slot=1,Healthy Cow Pizza - CLOSED,https://www.yelp.com/biz/healthy-cow-pizza-houston?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,MOD Pizza,https://www.yelp.com/biz/mod-pizza-houston-2?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
