Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Roy’s Restaurant,https://www.yelp.com/adredir?ad_business_id=qOrd_jWT3e16_wwRSpvYwQ&campaign_id=Nkg3V0vJNdhoV-oFFihCig&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Froys-restaurant-tampa-2&request_id=62504100966d1308&signature=94e809974951854d64166d61ac25180a5e6b8e3ac8f9f77cc2de515eaa5fb28b&slot=0,Square 1 Burgers,https://www.yelp.com/biz/square-1-burgers-brandon?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Nico’s Arepas Grill,https://www.yelp.com/adredir?ad_business_id=sPy8XUOJ0ax5Zh2yEsl4cA&campaign_id=f_WR8WI0k6W-FZ37FAmBmQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnicos-arepas-grill-tampa&request_id=62504100966d1308&signature=bfe9700921272bb2d8fab6a56c49c152474d2066074be0104da64e17e9e86a04&slot=1,Ford’s Garage,https://www.yelp.com/biz/fords-garage-brandon?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Portillos,https://www.yelp.com/biz/portillos-brandon-2?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Accepts Android Pay,No,,,,
Sun,11:00 am - 10:00 pm,Good For,"Lunch, Dinner",,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
