Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,,,Brighton Bar & Grill,https://www.yelp.com/biz/brighton-bar-and-grill-brighton?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,,,Aubree’s Pizzeria & Grill,https://www.yelp.com/biz/aubrees-pizzeria-and-grill-howell?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Rage Pizza,https://www.yelp.com/biz/rage-pizza-brighton?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Good For,"Lunch, Dinner, Dessert",,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
