Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Leff’s Lucky Town,https://www.yelp.com/adredir?ad_business_id=LGeNi8PP4lmFnj5CRk_5rw&campaign_id=mS0Ry3tzuri-AsRg35Mitw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fleffs-lucky-town-milwaukee&request_id=27d670f6c0de9d6d&signature=3d02dec2c572ba6d9f0db4c8506a4e292ad6d51ea342ad7406387543c6406e59&slot=0,Fuddruckers,https://www.yelp.com/biz/fuddruckers-brookfield-2?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Cousins Subs,https://www.yelp.com/adredir?ad_business_id=KgTVmgf6bgabrAiSYDPJyg&campaign_id=HER6Mn7sNVpNZI7KxiL_yA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcousins-subs-brookfield-2&request_id=27d670f6c0de9d6d&signature=93c04da9f45f91b451833b5fe7baa1d0f5284937dbdb114d157556a6d9105a01&slot=1,Portillo’s,https://www.yelp.com/biz/portillos-brookfield?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Bougey’s Bar & Grill,https://www.yelp.com/biz/bougeys-bar-and-grill-brookfield?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Parking,Private Lot,,,,
Sun,11:00 am - 10:00 pm,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
