Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Asterisk Supper Club,https://www.yelp.com/adredir?ad_business_id=DdHVmOnAmN2ggUGPTcCGVw&campaign_id=Aef_CtHlVr-oFVMiXJSuCg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fasterisk-supper-club-westerville&request_id=8ac1b4e99bd4a6fa&signature=6cbd027bf45ec810363dff58520eefd16376ec963f464b2ab3240015874d0be7&slot=0,Flip Side,https://www.yelp.com/biz/flip-side-columbus-2?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Rusty Bucket Restaurant & Tavern,https://www.yelp.com/adredir?ad_business_id=OG-zOMHUdlojKwQhrozRyg&campaign_id=QFU99BD1KWBP7FxcSLuivg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frusty-bucket-restaurant-and-tavern-columbus&request_id=8ac1b4e99bd4a6fa&signature=0daf2cbcd09fae7550756b032797241f1dfebaa774878c68ddd2711e77837b4f&slot=1,Melt Bar and Grilled,https://www.yelp.com/biz/melt-bar-and-grilled-columbus-3?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Ted’s Montana Grill - Gateway,https://www.yelp.com/biz/teds-montana-grill-gateway-columbus?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Accepts Android Pay,No,,,,
Sun,11:00 am - 9:30 pm,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
