Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Freebirds World Burrito,https://www.yelp.com/adredir?ad_business_id=yceC-8DkScnEZp9SBHMy8Q&campaign_id=a58QGqazzID2K20K7hY_DQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffreebirds-world-burrito-roseville&request_id=93762895e72c15b0&signature=bbaf6838da01c16c4774c217b2a0929081b0f561d90364132163e492b8fc8916&slot=0,Siino’s Pizza Pasta & Grill,https://www.yelp.com/biz/siinos-pizza-pasta-and-grill-lincoln?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Siino’s Pizza Pasta & Grill,https://www.yelp.com/adredir?ad_business_id=6myunZPSfWXM07zIh3U5IA&campaign_id=r94_Io6KeyId0soRB-BwMg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsiinos-pizza-pasta-and-grill-lincoln&request_id=93762895e72c15b0&signature=c539e7b46856b501bc4453ca713a845f3a9ab699379ab446a76f41e57527edc1&slot=1,Carl’s Jr,https://www.yelp.com/biz/carls-jr-lincoln?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-lincoln-3?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Accepts Android Pay,Yes,,,,
Sun,11:00 am - 10:00 pm,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
