Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Bob Evans,https://www.yelp.com/adredir?ad_business_id=5WYvsXMIlR0dyyOoTrSxiA&campaign_id=ebLE8eIxRmS8XVG9aN20jQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbob-evans-springfield-6&request_id=8905ded7968bdd86&signature=a05279ef40eb4e3d8c9066fecefe89daf56763b5a7cfbe24b9c54c1fd6427762&slot=0,D’arcy’s Pint,https://www.yelp.com/biz/d-arcys-pint-springfield?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,McDonald’s,https://www.yelp.com/adredir?ad_business_id=SMZj5LEcNJvB7vJoQJlyzg&campaign_id=atB9ZUH-SRGTKQkFNALLxA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmcdonalds-springfield-49&request_id=8905ded7968bdd86&signature=cd84c669cd270a8a125235c32e1ee0b51a90ea761080a0ba008dc1ee66e4d166&slot=1,Obed & Isaacs,https://www.yelp.com/biz/obed-and-isaacs-springfield?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-springfield-4?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Accepts Android Pay,No,,,,
Sun,11:00 am - 10:00 pm,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
