Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Rubio’s Coastal Grill,https://www.yelp.com/adredir?ad_business_id=N2B_OycD9HLCDKiOr_6sJg&campaign_id=9tMG7evMjmraAw62BkIoUQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frubios-coastal-grill-stockton&request_id=fc824cadd1a9fcef&signature=21adac4ebafed926a7beedc0a1540c0046968d41ba034864d13cb1d7c67c0ed3&slot=0,Squeeze Burger & Brew,https://www.yelp.com/biz/squeeze-burger-and-brew-stockton-2?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,East Main Drive In,https://www.yelp.com/adredir?ad_business_id=1kV7-6IIk9HA-4VsQgcsrw&campaign_id=51hoHzzJ2GUZZiwkqmFlQg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Feast-main-drive-in-stockton&request_id=fc824cadd1a9fcef&signature=88e340dabe882e7cd7abf321e5578c1fcd4fe0497c844a12a0df0b311dbee1af&slot=1,The Habit Burger Grill,https://www.yelp.com/biz/the-habit-burger-grill-stockton-2?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Flip’s Burgers,https://www.yelp.com/biz/flips-burgers-stockton?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 10:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
