Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,No,,,Bricktown Tap House & Kitchen,https://www.yelp.com/biz/bricktown-tap-house-and-kitchen-wichita-falls-2?page_src=related_bizes
,,Delivery,No,,,Willie’s Place,https://www.yelp.com/biz/willies-place-wichita-falls?page_src=related_bizes
,,Take-out,Yes,,,Heff’s Burgers,https://www.yelp.com/biz/heffs-burgers-wichita-falls?page_src=related_bizes
,,Accepts Credit Cards,Yes,,,,
,,Good For,"Lunch, Dessert",,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
