Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am Open now,Takes Reservations,No,Latham 76 Diner,https://www.yelp.com/adredir?ad_business_id=OjczqLl-q-NQ2oyvWUMagw&campaign_id=V375T4LVD_JCIZC2Toqd7w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Flatham-76-diner-latham&request_id=7ef15f115a6563d3&signature=51350c6284448a244e3abb16216a829f92bf7033ea4201cb558ab795f21be5a4&slot=0,The Standard Restaurant & Lounge,https://www.yelp.com/biz/the-standard-restaurant-and-lounge-albany?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,Iron Gate Cafe,https://www.yelp.com/adredir?ad_business_id=mfkK5e2JgvQrQAzROa_eqw&campaign_id=4eOgK-SgAgQrVpgcqBO21g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Firon-gate-cafe-albany&request_id=7ef15f115a6563d3&signature=5ece5e89963b9258b8bb49b72a33e8f20f83326942f4e26f20f4fbcfbc404c0b&slot=1,Across The Street Pub,https://www.yelp.com/biz/across-the-street-pub-albany?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Peaches Cafe,https://www.yelp.com/biz/peaches-cafe-albany?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 1:00 am,Bike Parking,Yes,,,,
Sun,11:00 am - 1:00 am,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
