Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,9:00 am - 8:00 pm Open now,Takes Reservations,No,Bob Evans,https://www.yelp.com/adredir?ad_business_id=7W2oJdfn8Gg_SiNI8CRvbQ&campaign_id=ebLE8eIxRmS8XVG9aN20jQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbob-evans-romulus&request_id=c8aa9f647e6c2305&signature=a79114f1a9358c311d5eb1ad525e10a6773dccf0ad91813cbeef3b31a2b63506&slot=0,Merriman Street Grill,https://www.yelp.com/biz/merriman-street-grill-romulus?page_src=related_bizes
Tue,9:00 am - 8:00 pm,Delivery,No,Capt’n Nemo’s Sub Shop,https://www.yelp.com/adredir?ad_business_id=V7T5lspDWumBPeEh-fQesQ&campaign_id=mzPIKz_MR9tgO_5kVP5d2w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcaptn-nemos-sub-shop-westland&request_id=c8aa9f647e6c2305&signature=f494446af1026e87b87e4493264b53b1c89d50e8f13d991755f93249b908d42d&slot=1,Capitol Bistro & Bar,https://www.yelp.com/biz/capitol-bistro-and-bar-romulus-2?page_src=related_bizes
Wed,9:00 am - 8:00 pm,Take-out,Yes,,,Romulus House Restaurant,https://www.yelp.com/biz/romulus-house-restaurant-romulus?page_src=related_bizes
Thu,9:00 am - 8:00 pm,Accepts Credit Cards,Yes,,,,
Fri,9:00 am - 8:00 pm,Accepts Apple Pay,No,,,,
Sat,10:00 am - 8:00 pm,Good For,"Brunch, Lunch",,,,
Sun,10:00 am - 8:00 pm,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,No,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
