Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Waterways Cruises,https://www.yelp.com/adredir?ad_business_id=CLdsPmhdeW92zJjRk9N7Lw&campaign_id=iM1H12eSv-fzF-gusvSDqg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwaterways-cruises-seattle&request_id=fefc615c9b2d8e3c&signature=dc5b7446a1368fb1ca2cb0414dc8198f3c57630eb0aaaeff3dc76fa5c0c58fbf&slot=0,Twisted Lime Pub,https://www.yelp.com/biz/twisted-lime-pub-mill-creek?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Sebastian’s Mexican Restaurant and Cantina,https://www.yelp.com/adredir?ad_business_id=Ip48ZlKzd9K6DuHbfhmlUA&campaign_id=SPazbEh410LjcSzbQuW5WA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsebastians-mexican-restaurant-and-cantina-kirkland-4&request_id=fefc615c9b2d8e3c&signature=06b05f221162c1caedf21fcef0e3fe153244d758b4583ccf7bbdeb40cedd0744&slot=1,EJ Burger,https://www.yelp.com/biz/ej-burger-everett?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Chick 5,https://www.yelp.com/biz/chick-5-mill-creek?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 1:00 am,Good For,"Lunch, Dinner, Late Night",,,,
Sun,11:00 am - 12:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
