Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Dominick’s Pizza,https://www.yelp.com/adredir?ad_business_id=tFY-IxgeIOAyZOw4rsfFOg&campaign_id=zBNQIlELyBQgmQSw_EecEA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdominicks-pizza-elkton&request_id=3b7b1cbcc76d3fec&signature=934ee52cf1f8e0f3c2a1f1aacc80239d522262040907178bd5842f7bfde597c9&slot=0,Fuddruckers,https://www.yelp.com/biz/fuddruckers-newark?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Churrascaria Saudades,https://www.yelp.com/adredir?ad_business_id=42LU__FQCCOlW5GeyJNrQA&campaign_id=ZPQfRW353117nh_0-3focQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchurrascaria-saudades-newark-3&request_id=3b7b1cbcc76d3fec&signature=fcdac36af92b16cd2210f6f0a8ee069e763e9dd815e8cc9aeb74940328466029&slot=1,Horace Shellhammer’s,https://www.yelp.com/biz/horace-shellhammers-newark?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,J B Dawson’s Restaurant & Bar,https://www.yelp.com/biz/j-b-dawsons-restaurant-and-bar-newark-2?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Good For,"Lunch, Dessert",,,,
Sat,11:00 am - 1:00 am,Bike Parking,No,,,,
Sun,11:00 am - 12:00 am,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Good For Dancing,No,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Has Pool Table,No,,,,
