Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,Yes,,,Culver’s of Pella,https://www.yelp.com/biz/culvers-of-pella-pella?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,,,Giovanni’s Pizza,https://www.yelp.com/biz/giovannis-pizza-newton?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,The Highway Restaurant,https://www.yelp.com/biz/the-highway-restaurant-albia?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Bike Parking,No,,,,
Sun,11:00 am - 10:00 pm,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,Yes,,,,
