Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Rosalia’s Pizzeria,https://www.yelp.com/adredir?ad_business_id=HJzesewTMaf4eC79lk3Fcw&campaign_id=grSchqHJIqz7UUnvf5BjAg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frosalias-pizzeria-forest-hills&request_id=d5155515748c064d&signature=4ff4b5852bf658c53ddab0051d9e3beaa2acafbf702bf4ba24ebb18de1777cf3&slot=0,TRUFFLE Restaurant & Bar,https://www.yelp.com/biz/truffle-restaurant-and-bar-valley-stream-2?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Niu Pot,https://www.yelp.com/adredir?ad_business_id=kS6CACsR0c9uP5XVMVibdQ&campaign_id=8am0o5kKq-AlvbxXrhatFg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fniu-pot-flushing&request_id=d5155515748c064d&signature=c322e2039dd7135571a0637bbce6b99df5fce2cc53b6b784787a4164ca462e40&slot=1,BJ’s Restauarant & Brewhouse,https://www.yelp.com/biz/bjs-restauarant-and-brewhouse-teterboro?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,PizzaRev - CLOSED,https://www.yelp.com/biz/pizzarev-valley-stream?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,Yes,,,,
Sat,11:00 am - 12:00 am,Accepts Bitcoin,No,,,,
Sun,11:00 am - 12:00 am,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Wheelchair Accessible,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Dogs Allowed,No,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
