Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Jersey Mike’s Subs,https://www.yelp.com/adredir?ad_business_id=_BSUgrGM2AbEI11K3DeZkQ&campaign_id=H_tGKb3S-h_4KTNf7SU4hQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjersey-mikes-subs-hilliard&request_id=7b67cc36c0244416&signature=264888f46d2e2f0f11ab31b2282eac4a884c9ddbae52047c8b68a0a68bcfff4e&slot=0,Matt The Miller’s Tavern,https://www.yelp.com/biz/matt-the-millers-tavern-columbus-4?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,101 Beer Kitchen,https://www.yelp.com/adredir?ad_business_id=JqSL9fNnkwsxQkqGJyHJ2g&campaign_id=M3tbzbAhl_wPnC7ZWb0pxg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2F101-beer-kitchen-westerville-2&request_id=7b67cc36c0244416&signature=e0d7c46eb539d9bb3aca2a53801ded0b0e273ea8b0fcc391a993aae7a79f6e4a&slot=1,BJ’s Restaurant & Brewhouse,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-columbus?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,101 Beer Kitchen,https://www.yelp.com/biz/101-beer-kitchen-westerville-2?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good For,"Dinner, Dessert",,,,
Sat,10:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,10:00 am - 10:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
,,Gender Neutral Restrooms,Yes,,,,
