Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:30 am - 11:00 pm,Takes Reservations,No,The Big Cheese & Pub,https://www.yelp.com/adredir?ad_business_id=BMeYg3kBB1basJ-MNOGNBw&campaign_id=Fi5tlezM3q5iaNck6fW5wQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-big-cheese-and-pub-cranston&request_id=6600bdca113c88f0&signature=3db23e57ee3ef42aa7e1ef9a02fdb0d058ea6b7fe4d08e586813c91cb83da0d4&slot=0,Pastiche,https://www.yelp.com/biz/pastiche-providence?page_src=related_bizes
Tue,11:30 am - 11:00 pm,Delivery,No,S S Dion,https://www.yelp.com/adredir?ad_business_id=KblN5uyCxBmr0g__7_6K2g&campaign_id=pgb-ISSCt2mHOtdbEHPxCw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fs-s-dion-bristol&request_id=6600bdca113c88f0&signature=aaf8cbb508a24bc924216fb4709f8a21aeb9f3d9b605c993b6139415619028cc&slot=1,Marketplace Cafe,https://www.yelp.com/biz/marketplace-cafe-providence-5?page_src=related_bizes
Wed,11:30 am - 11:00 pm,Take-out,Yes,,,Red Fin Crudo + Kitchen,https://www.yelp.com/biz/red-fin-crudo-kitchen-providence?page_src=related_bizes
Thu,11:30 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:30 am - 12:30 am,Accepts Apple Pay,Yes,,,,
Sat,10:00 am - 12:30 am,Good For,"Lunch, Dinner, Dessert",,,,
Sun,10:00 am - 11:00 pm,Parking,Garage,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
