Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Uncle Nick’s Downtown Cafe,https://www.yelp.com/adredir?ad_business_id=tZCjZSmv9VnMmpI-OPyCZw&campaign_id=xPuvc7jtGtDAisREGHfY5w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Funcle-nicks-downtown-cafe-lakeland-3&request_id=aa06f4af3dbb791f&signature=b2e01208b1c88a08597e5b642d5e8a12a93280c1424c922247b89aca98edbf45&slot=0,Beef ‘O’ Brady’s,https://www.yelp.com/biz/beef-o-bradys-auburndale-2?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Red Door Lakeland,https://www.yelp.com/adredir?ad_business_id=wldHniQ992gBlBxbi_LP8A&campaign_id=gi_hmlRkpsTcvtucP-SxCQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fred-door-lakeland-lakeland&request_id=aa06f4af3dbb791f&signature=566ab23073c6d53ee3cb53b50ed2076652480f33fa4d990005fb500c06fb56ed&slot=1,Andy’s Igloo,https://www.yelp.com/biz/andys-igloo-winter-haven?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,The Fire Restaurant,https://www.yelp.com/biz/the-fire-restaurant-winter-haven?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Android Pay,Yes,,,,
Sat,11:00 am - 12:00 am,Good For,"Lunch, Dessert",,,,
Sun,11:00 am - 11:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Good For Dancing,No,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,"Fri, Sat, Sun",,,,
,,Coat Check,No,,,,
,,Smoking,Outdoor Area / Patio Only,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
