Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,Saint & Second,https://www.yelp.com/adredir?ad_business_id=PDsUXTrLda1WwTraNFbWRA&campaign_id=NieE6ea_J72t-2UHYl6Pag&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsaint-and-second-long-beach&request_id=49fb0bb484f7d659&signature=7a5048ddcfd12fa35a674ff059f69161ab4565d08bbc481092af9b5308eb687b&slot=0,Olive Garden Italian Restaurant,https://www.yelp.com/biz/olive-garden-italian-restaurant-carson?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,El Burro - Tacos & Beer,https://www.yelp.com/adredir?ad_business_id=acAdrm8IOakPiBVeAYtx4A&campaign_id=dDwnT74lG0Aa43ZT9h5iTg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fel-burro-tacos-and-beer-carson&request_id=49fb0bb484f7d659&signature=82234310db34d75ff8aee0db6c555d7ffeaad01605233e17c8d5176aee6b2c7b&slot=1,Darrow’s New Orleans Grill,https://www.yelp.com/biz/darrows-new-orleans-grill-carson?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Sports Club Bar,https://www.yelp.com/biz/sports-club-bar-carson?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Accepts Android Pay,Yes,,,,
Sun,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,"Fri, Sat, Sun",,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
