Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Clicks Live,https://www.yelp.com/adredir?ad_business_id=2XgUk3veLi__v6fiQbxtVw&campaign_id=4DQZEZ8ObqcE1CzCWuenhg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fclicks-live-tyler&request_id=f6583722e7f14cea&signature=5b623f71dc1956863ca4c321326d1e895ad2305cb7be88e737229ec7c5595017&slot=0,Pettys Steak and Catfish,https://www.yelp.com/biz/pettys-steak-and-catfish-lindale?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Oliveto Italian Bistro,https://www.yelp.com/adredir?ad_business_id=fd9IcEucUGLWB0SJ90s3Jw&campaign_id=T4aO2nY22Pvnk9SJ_oNSMw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Foliveto-italian-bistro-tyler-2&request_id=f6583722e7f14cea&signature=7af78a2f0e1b8c9998814446e123a903b82349ca29060216b0329f2f69b49495&slot=1,The Catch,https://www.yelp.com/biz/the-catch-lindale?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Cracker Barrel Old Country Store,https://www.yelp.com/biz/cracker-barrel-old-country-store-tyler?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Bike Parking,Yes,,,,
Sat,11:00 am - 12:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 11:00 pm,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
