Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:30 pm,Takes Reservations,No,The Heritage Table,https://www.yelp.com/adredir?ad_business_id=Q1uNE4_H_Lczy7hMg8WZhA&campaign_id=qMtMTilP4rpT54kC5ibSRw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-heritage-table-frisco&request_id=78631525515103ac&signature=0f2a5ea257af364d9b572521232b7efeaf4b5db5fa07b22dc4b6ea2d5a1fe335&slot=0,Cotton Patch Cafe,https://www.yelp.com/biz/cotton-patch-cafe-mckinney?page_src=related_bizes
Tue,11:00 am - 10:30 pm,Delivery,No,The Rock Wood Fired Pizza,https://www.yelp.com/adredir?ad_business_id=ePdYnUF7UZGBw49VBIvUjQ&campaign_id=EyXFqcqdIuUd9G_xS-omVA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-rock-wood-fired-pizza-wylie&request_id=78631525515103ac&signature=dcdacef62415a38193d40ec6703817b2f984884177a2acea1e9e6bb0dc03a191&slot=1,Cristina’s Fine Mexican Restaurant,https://www.yelp.com/biz/cristinas-fine-mexican-restaurant-mckinney?page_src=related_bizes
Wed,11:00 am - 10:30 pm,Take-out,Yes,,,Big Tony’s Pizza Tavern,https://www.yelp.com/biz/big-tonys-pizza-tavern-mckinney?page_src=related_bizes
Thu,11:00 am - 10:30 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Accepts Android Pay,No,,,,
Sun,11:00 am - 11:00 pm,Good For,Lunch,,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Good For Dancing,No,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Coat Check,No,,,,
,,Smoking,No,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
