Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,Yes,Ameci Pizza & Pasta - Manhattan Beach,https://www.yelp.com/adredir?ad_business_id=qC7nGNDN_Vjwf2dce35z3Q&campaign_id=VYMdsdMdv69Q2tnZTWjNjg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fameci-pizza-and-pasta-manhattan-beach-manhattan-beach&request_id=bb1843281f6324d5&signature=c0fbf58d157e786159d35093a1e357a4edf986008be84fde9d51298c65850632&slot=0,North Italia,https://www.yelp.com/biz/north-italia-el-segundo?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Jackson’s Food + Drink,https://www.yelp.com/adredir?ad_business_id=EJgzaRnIKtZUG5gBzI4MhA&campaign_id=tdgxeETnTUkuzzTpXxEW4g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjacksons-food-drink-el-segundo-2&request_id=bb1843281f6324d5&signature=d688b6b366da12299be47189b877109ba7e33974c0ebc1a53e757984fb08a7e7&slot=1,Grimaldi’s Pizzeria,https://www.yelp.com/biz/grimaldis-pizzeria-el-segundo-3?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Islands Restaurant,https://www.yelp.com/biz/islands-restaurant-manhattan-beach-2?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,10:30 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
