Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:30 am - 9:00 pm,Takes Reservations,No,Mio Italian Kitchen & Vinoteca,https://www.yelp.com/adredir?ad_business_id=dchrxzsM6NaPYnyTUzGXTA&campaign_id=C41uS0nJCXOctAc4-j62iQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmio-italian-kitchen-and-vinoteca-plano&request_id=408e01226565996b&signature=26d08e10707eafbf7be3d0af5a88d265a6b0b98b4a66b54def46a2d741366de8&slot=0,Bacci’s Pizza & Pasta,https://www.yelp.com/biz/baccis-pizza-and-pasta-carrollton?page_src=related_bizes
Tue,11:30 am - 9:00 pm,Delivery,No,Teriyaki Madness,https://www.yelp.com/adredir?ad_business_id=02W08EcIRmmfk_BSmfMxSA&campaign_id=toevamHyiZC-tSgu78FapQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fteriyaki-madness-plano-3&request_id=408e01226565996b&signature=8489c6fa153576ac9e1fa822271ac1d99f5df841ac216e8936032990d9337713&slot=1,i Fratelli Pizza Plano West,https://www.yelp.com/biz/i-fratelli-pizza-plano-west-plano-2?page_src=related_bizes
Wed,11:00 am - 9:00 pm,Take-out,Yes,,,Zio Al’s Pizza & Pasta,https://www.yelp.com/biz/zio-als-pizza-and-pasta-dallas?page_src=related_bizes
Thu,11:30 am - 9:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:30 am - 10:00 pm,Accepts Apple Pay,No,,,,
Sat,11:30 am - 10:00 pm,Good For,Dinner,,,,
Sun,12:00 pm - 8:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,"Casual, Trendy",,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
