Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,Yes,Volare Pizza & Restaurant,https://www.yelp.com/adredir?ad_business_id=ma1THfl5FgO9qj6P8DvxdA&campaign_id=y22NEPYRkjsq59NuBCNF8Q&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolare-pizza-and-restaurant-san-francisco&request_id=b9caa8914fcdc52e&signature=bbab42ee976db14d6b3ed4436b9fa8a9ce69e64f93a2eaa7be437f4b687b2651&slot=0,Sam’s Chowder House,https://www.yelp.com/biz/sams-chowder-house-half-moon-bay?page_src=related_bizes
,,Delivery,No,Skyline’s Cafe,https://www.yelp.com/adredir?ad_business_id=lVVbDilYULBL1OZG_3hE9w&campaign_id=rsWCymfrooK1IM45Ns6c7g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fskylines-cafe-daly-city&request_id=b9caa8914fcdc52e&signature=5017213a382b3ca55d238f72aacb2c7319ca930c22e7352f7e32e266f8c56c0c&slot=1,The Fish Market,https://www.yelp.com/biz/the-fish-market-palo-alto-2?page_src=related_bizes
,,Take-out,Yes,,,,
,,Accepts Credit Cards,Yes,,,,
,,Parking,Street,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
