Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,Yes,,,Carl’s Jr,https://www.yelp.com/biz/carls-jr-abbotsford-3?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,,,White Spot,https://www.yelp.com/biz/white-spot-abbotsford-2?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Bob’s Burgers and Brew - Sumas,https://www.yelp.com/biz/bobs-burgers-and-brew-sumas-sumas?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepted Cards,"Credit, Debit",,,,
Fri,11:00 am - 11:00 pm,Parking,Private Lot,,,,
Sat,11:00 am - 11:00 pm,Bike Parking,No,,,,
Sun,11:00 am - 10:00 pm,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Beer & Wine Only,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
