Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Al Basha Mediterranean Grill,https://www.yelp.com/adredir?ad_business_id=HW8TasyA-Xfct_jBoV9XzQ&campaign_id=XR69OgHw-LfqDWY07J5H1A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fal-basha-mediterranean-grill-webster&request_id=87cd6545f3f1c3bb&signature=8c1964bda065386afc1ddc6259a9012bb1a19ccddaffa3fb63ac50f78056f75b&slot=0,Burger Nation,https://www.yelp.com/biz/burger-nation-houston-2?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,King’s Biergarten & Restaurant,https://www.yelp.com/adredir?ad_business_id=bqqAmknFx-xHV5jA-fLR0g&campaign_id=pcBoSOvJUEV5N3Hp45RKug&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkings-biergarten-and-restaurant-pearland-2&request_id=87cd6545f3f1c3bb&signature=9e04887897eb63a3f9407ac9fc54771ef04369b8af9f2f3a04fc65e5b1e9e513&slot=1,The Melt - Baybrook Mall - CLOSED,https://www.yelp.com/biz/the-melt-baybrook-mall-friendswood-2?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Pop Top Burgers,https://www.yelp.com/biz/pop-top-burgers-webster?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sat,11:00 am - 11:00 pm,Bike Parking,Yes,,,,
Sun,11:00 am - 10:00 pm,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,Yes,,,,
