Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Hopkins Poultry,https://www.yelp.com/adredir?ad_business_id=i_JR4CHZEIw7RP-s_IwXsQ&campaign_id=O1hJPZeVgcsY6GJ6GLVfYw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhopkins-poultry-browns-summit&request_id=69d13070184672f0&signature=5cf8dce4df3211bb106df44ca437258a700bc19282f6d639c19384c012bdae19&slot=0,Big Burger Spot,https://www.yelp.com/biz/big-burger-spot-greensboro-2?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Vino’s Pizzeria,https://www.yelp.com/adredir?ad_business_id=tiTME_zBw63QlcHfC1n0Fg&campaign_id=F8i30RoZTnDWWaVnkzreKA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvinos-pizzeria-greensboro&request_id=69d13070184672f0&signature=0514675acc6a3260458b54adf1a62ef39f1dae29b48bb181a70bd13b48bd0b1a&slot=1,Hops Burger Bar,https://www.yelp.com/biz/hops-burger-bar-greensboro?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,East Coast Wings & Grill,https://www.yelp.com/biz/east-coast-wings-and-grill-greensboro?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Parking,Private Lot,,,,
Sun,11:00 am - 10:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
