Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,Olympia Pizza & Spaghetti House,https://www.yelp.com/adredir?ad_business_id=Fnt7qc_be8orh1qbBHSEgw&campaign_id=6VSbGwkpvr7m_zCoUcVSDQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Folympia-pizza-and-spaghetti-house-seattle-2&request_id=9452163f3fc9ccda&signature=d61fac8376395a8c6b5ddbbb381d7ede1107fa4b2aadec6de274af5997fb2013&slot=0,Blazing Onion Burger,https://www.yelp.com/biz/blazing-onion-burger-lynnwood?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Zulu’s Board Game Cafe,https://www.yelp.com/adredir?ad_business_id=osjnmFOwCE5Y9Mzu9Jn7Ig&campaign_id=Auy0u3gWsLZAKpwCikJ2VQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzulus-board-game-cafe-bothell&request_id=9452163f3fc9ccda&signature=6d99de6a85e97f657232683ea4aed0f152898c81d9d947a0952a43c4d8123132&slot=1,Katsu Burger,https://www.yelp.com/biz/katsu-burger-lynnwood?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Hop Jack’s - Lynnwood,https://www.yelp.com/biz/hop-jacks-lynnwood-lynnwood?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 12:00 am,Accepts Android Pay,No,,,,
Sun,11:00 am - 10:00 pm,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
