Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,Yes,Rosie’s Italian Grille,https://www.yelp.com/adredir?ad_business_id=nRYn1mJ1jWEQ5l91I0kVOg&campaign_id=l1lbN5X88MvEwhM1U_0JAg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frosies-italian-grille-toledo&request_id=f42c4228d791ee86&signature=3135e784e0116c9e09cd1ada678b1708e23171ead22a2cbf31c6c71d78df435d&slot=0,Granite City Food & Brewery,https://www.yelp.com/biz/granite-city-food-and-brewery-maumee?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Ye Olde Durty Bird,https://www.yelp.com/adredir?ad_business_id=Qk0eh0oTzFh73I_syU2N_A&campaign_id=qsk8uyee8uJzqH3nnSRfDQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fye-olde-durty-bird-toledo-2&request_id=f42c4228d791ee86&signature=7a7e89c64027543eeb973506671f9394e47e3d59de482db4c5b3a23d4c69994e&slot=1,Sunset Bistro,https://www.yelp.com/biz/sunset-bistro-bowling-green?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Perrysburger’s,https://www.yelp.com/biz/perrysburgers-perrysburg?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good For,Lunch,,,,
Sat,11:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 10:00 pm,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
