Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Bodovino,https://www.yelp.com/adredir?ad_business_id=6VDSx-ghQwbYvMaS0fz9xw&campaign_id=_Giu5wm0r4VxGLdTVExkSg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbodovino-boise&request_id=62a8bffcbb07a8ad&signature=1d04b58ce98a40e9272a50af8f312368a32f5420c258e05f782dcaea95447134&slot=0,The Habit Burger Grill,https://www.yelp.com/biz/the-habit-burger-grill-meridian-4?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,BBQ4LIFE,https://www.yelp.com/adredir?ad_business_id=kvOorg6F1gnbPmlTtjunsg&campaign_id=gFb6vpnDwtfbob-pPQ0LLw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbbq4life-boise&request_id=62a8bffcbb07a8ad&signature=6509983e7d3e34ffae9dd524df8839ae2ddbb0b2b7e24a8ec9c8914ae9c84280&slot=1,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-meridian?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Freddy’s Frozen Custard & Steakburgers,https://www.yelp.com/biz/freddys-frozen-custard-and-steakburgers-meridian-5?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,Lunch,,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,Yes,,,,
