Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 9:30 pm,Takes Reservations,Yes,,,Lisa’s Pasty Pantry,https://www.yelp.com/biz/lisas-pasty-pantry-missoula?page_src=related_bizes
Tue,11:00 am - 9:30 pm,Delivery,No,,,Jakers Bar and Grill,https://www.yelp.com/biz/jakers-bar-and-grill-missoula?page_src=related_bizes
Wed,11:00 am - 9:30 pm,Take-out,Yes,,,Tamarack Brewing Company,https://www.yelp.com/biz/tamarack-brewing-company-missoula?page_src=related_bizes
Thu,11:00 am - 9:30 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 10:00 pm,Bike Parking,Yes,,,,
Sat,11:00 am - 10:00 pm,Good for Kids,Yes,,,,
Sun,11:00 am - 9:00 pm,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
