Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Midvale Mining Cafe,https://www.yelp.com/adredir?ad_business_id=pa_skuOK05SvluCz6vjWhA&campaign_id=S3YaVyIkRteySvQjM_dwIQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmidvale-mining-cafe-midvale&request_id=68eaafd06ee87f88&signature=f5c49a0773b916fe8f9e2f20fec4854b05fae0bb1a604a9d700cffd61388f343&slot=0,The Junction Pizzeria And Grill,https://www.yelp.com/biz/the-junction-pizzeria-and-grill-midvale?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Per Noi Trattoria,https://www.yelp.com/adredir?ad_business_id=UlyT0fFi3NfT8d48RRa-Vw&campaign_id=G2qgqb2Niv76pNXpPpXt3w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fper-noi-trattoria-salt-lake-city&request_id=68eaafd06ee87f88&signature=1fe171d57edfcf8016787ec0cc030202b4ec06ea0459580994cffe1eb15712b0&slot=1,Mid City Pub & Grill,https://www.yelp.com/biz/mid-city-pub-and-grill-midvale?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Red Rock Place,https://www.yelp.com/biz/red-rock-place-murray-9?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 9:00 pm,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
