Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Nugget Markets,https://www.yelp.com/adredir?ad_business_id=-9RyuI_e00qdR1T4DoaxUw&campaign_id=VClhS16cmxqjSn0gEUo-Rg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnugget-markets-roseville&request_id=0ae36704d9ca1a6d&signature=ada093b122c1b0c6a24f1a8514a736a16982735914db2589a34e470cf8854adc&slot=0,Buck & Sadie’s,https://www.yelp.com/biz/buck-and-sadies-roseville?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Lazy Dog Restaurant & Bar,https://www.yelp.com/adredir?ad_business_id=4xkLc8MlqqA2-PLdGjZLDA&campaign_id=hhxo61cycaaZvDmu3F8QDQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Flazy-dog-restaurant-and-bar-roseville-2&request_id=0ae36704d9ca1a6d&signature=99abcabd5797891570e9af3e6178f9b9c7013bb91448a5e30dec666af7a6edc8&slot=1,Islands Restaurant,https://www.yelp.com/biz/islands-restaurant-roseville?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Smashburger,https://www.yelp.com/biz/smashburger-roseville-3?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Accepts Android Pay,No,,,,
Sun,11:00 am - 10:00 pm,Good For,"Lunch, Dinner",,,,
,,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
