Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 2:00 am,Takes Reservations,Yes,Vallarta Express,https://www.yelp.com/adredir?ad_business_id=x-ahI7wivyxSE80vU-fMiw&campaign_id=3BYj1yMhHqnIC_kASk3w5A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvallarta-express-la-mesa&request_id=c75672bec21eb804&signature=8571f88d70dc779b90ffd1b75134c4bc4382cd83ebe1ce8cc6ad08b3b43db0b7&slot=0,Applebee’s Neighborhood Grill & Bar,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-el-cajon-7?page_src=related_bizes
Tue,11:00 am - 2:00 am,Delivery,No,Milo’s Pizza & Subs,https://www.yelp.com/adredir?ad_business_id=hG6yxLM59KfIWyb67HuIqg&campaign_id=V9x5TAphubUzHL28Z1NqJA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmilos-pizza-and-subs-san-diego&request_id=c75672bec21eb804&signature=9d9793d658466556581d6bb89ca8d37e7272410662c1630426fc76ccde0a2463&slot=1,Tgi Friday’s,https://www.yelp.com/biz/tgi-fridays-tijuana-2?page_src=related_bizes
Wed,11:00 am - 2:00 am,Take-out,Yes,,,Chili’s,https://www.yelp.com/biz/chilis-la-mesa?page_src=related_bizes
Thu,11:00 am - 2:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 2:00 am,Good For,"Lunch, Dinner, Late Night, Dessert",,,,
Sun,11:00 am - 2:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Gender Neutral Restrooms,Yes,,,,
