Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Picasso’s,https://www.yelp.com/adredir?ad_business_id=ZspWTyaNiAoMezkNYWDT3g&campaign_id=ZFnhCEZCJmU4jD3nY1RO9w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpicassos-dallas-2&request_id=b97e02c88fbeee91&signature=5e85490656465b68fc678a18828148ab826e7172104d81d35af657128142c548&slot=0,Cheddar’s Scratch Kitchen,https://www.yelp.com/biz/cheddars-scratch-kitchen-garland?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Lavendou French Bistro,https://www.yelp.com/adredir?ad_business_id=mLSnHda6AI8QlVsuLRDOVA&campaign_id=DQd3JI_CoUd_1Tp0fPo4qQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Flavendou-french-bistro-dallas&request_id=b97e02c88fbeee91&signature=5fcb1778ed13344f499da2c345b776085ed23fbf7c4cc8c66199c396d7dd881b&slot=1,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-garland?page_src=related_bizes
Wed,11:00 am - 2:00 am,Take-out,Yes,,,Sachse Ice House,https://www.yelp.com/biz/sachse-ice-house-sachse-8?page_src=related_bizes
Thu,11:00 am - 2:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 2:00 am,Good For,"Dinner, Late Night, Dessert",,,,
Sun,11:00 am - 12:00 am,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
