Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am Open now,Takes Reservations,No,Greystone Public House,https://www.yelp.com/adredir?ad_business_id=7rSZmkMVFLdFfGlBAYIiDA&campaign_id=QBoM1x6QvcKzBqO00vJJ8g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgreystone-public-house-harrisburg-2&request_id=a56157c100fd4a41&signature=01888cbb94e00c9189d9f28b3bb335e780f54405fa9173334d92cabe1bd50934&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-harrisburg?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,2nd St Shawarma,https://www.yelp.com/adredir?ad_business_id=Qki8soGvUcoTVNw0fYzlqA&campaign_id=n9LJs6tTewslbrCGwqVang&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2F2nd-st-shawarma-harrisburg&request_id=a56157c100fd4a41&signature=f74edbbcf1231f7a967167256b91acb9aeb38fac6fab28ce596c5d08747cf546&slot=1,Paxtang Grill,https://www.yelp.com/biz/paxtang-grill-harrisburg?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,The Progress Grill,https://www.yelp.com/biz/the-progress-grill-harrisburg?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Good For,"Lunch, Dinner",,,,
Sat,11:00 am - 2:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 1:00 am,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
