Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am Open now,Takes Reservations,Yes,Salt Creek Grille,https://www.yelp.com/adredir?ad_business_id=jV7s7I9dsQZFD12iPhKqWA&campaign_id=KEfGFq7Df0JFbIR38m89fQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsalt-creek-grille-rumson&request_id=8caa591ad13bcef9&signature=a4ca9e54492f1984c2f609ea617d7e6a8e3f10fbb6dcac624a6fe872ee404ded&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-holmdel-2?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,Stamna Greek Taverna,https://www.yelp.com/adredir?ad_business_id=fSYbgvnk7Gpgja5ZSP0KMA&campaign_id=wqpYfpHdDSDYNhbsgunH6g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fstamna-greek-taverna-lincroft&request_id=8caa591ad13bcef9&signature=5a0d494ddaa083a840c7241a5b68c6ab2d89591062c7b50d49080fd820b7a9d3&slot=1,Ader’s Tavern,https://www.yelp.com/biz/aders-tavern-union-beach-2?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,McDonagh’s Pub,https://www.yelp.com/biz/mcdonaghs-pub-keyport?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Bike Parking,No,,,,
Sat,11:00 am - 2:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 1:00 am,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
