Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 2:00 am,Takes Reservations,No,Brasserie du Parc,https://www.yelp.com/adredir?ad_business_id=iP7lliKwBV52eHkqPinMiA&campaign_id=KqMesROFPMCQoS40GL7NPg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbrasserie-du-parc-houston&request_id=2503690476e51aa3&signature=d2c3eabe3c50e49c8e41b2b4f84b67f364195fc4909e482181ba409ad5cdd4a0&slot=0,Cockpit Bar & Grill,https://www.yelp.com/biz/cockpit-bar-and-grill-houston?page_src=related_bizes
Tue,11:00 am - 2:00 am,Delivery,No,Wing Quarter,https://www.yelp.com/adredir?ad_business_id=obhl6Y5iETcCCoVpdza3_Q&campaign_id=-Fq2tOjoiQFw82YfooEbiQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwing-quarter-houston-2&request_id=2503690476e51aa3&signature=d1971619390e71ddc1b8cac62ecdeb5c8e2e53fc0266891bf8ab00b36f18529e&slot=1,Fuddruckers,https://www.yelp.com/biz/fuddruckers-houston?page_src=related_bizes
Wed,11:00 am - 2:00 am,Take-out,Yes,,,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-friendswood?page_src=related_bizes
Thu,11:00 am - 2:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Apple Pay,Yes,,,,
Sat,11:00 am - 2:00 am,Good For,"Lunch, Dinner, Dessert",,,,
Sun,11:00 am - 2:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
