Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am Open now,Takes Reservations,No,Cowford Chophouse,https://www.yelp.com/adredir?ad_business_id=JKAzThCPSDeoaQ7MZYGnKw&campaign_id=IS0Sfc1Nvf6sZS-JbiKArg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-cowford-chophouse-jacksonville&request_id=494adba848640bdc&signature=7097d7145e64576b08eef24e9ae21d4d9aa84b3449189bc316c77b086812fa54&slot=0,LongHorn Steakhouse,https://www.yelp.com/biz/longhorn-steakhouse-jacksonville-4?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Pizza Paddle,https://www.yelp.com/adredir?ad_business_id=XaEcpv_2RKIqBOoXhGbiiQ&campaign_id=1aK9QUqCWol2p_iN52XHkQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpizza-paddle-jacksonville&request_id=494adba848640bdc&signature=9dffb5c8c0395dcfb319e889b0c311315575639447b980d7343db2641f1a1c1e&slot=1,Chili’s,https://www.yelp.com/biz/chilis-jacksonville-14?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Ruby Tuesday,https://www.yelp.com/biz/ruby-tuesday-jacksonville-2?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Android Pay,Yes,,,,
Sat,11:00 am - 2:00 am,Good For,Dessert,,,,
Sun,11:00 am - 12:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
