Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Dish Society,https://www.yelp.com/adredir?ad_business_id=7pxY5NR0J-qDqcFKID5P2g&campaign_id=F5LisbQpceDCT9hZECMw5A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdish-society-katy-2&request_id=37aac81bc9099a5f&signature=0f38c56d13f7c49d4287ad9178414acab52fa3be1e49f776c39fc6ec95476bd2&slot=0,Fuddruckers,https://www.yelp.com/biz/fuddruckers-katy?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Dairy Queen,https://www.yelp.com/adredir?ad_business_id=P2K1mL2g14XRDOC5CgQ9sQ&campaign_id=Ymw8wqJIt3lXV6sha8U-xg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdairy-queen-katy&request_id=37aac81bc9099a5f&signature=6e88e2caba196f27d18077512d41b9743ffa26367986510ca47522345bdee87e&slot=1,Old Chicago Pizza & Taproom,https://www.yelp.com/biz/old-chicago-pizza-and-taproom-katy?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Texas Tradition,https://www.yelp.com/biz/texas-tradition-katy?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 1:00 am,Good For,"Lunch, Dinner, Late Night, Dessert",,,,
Sun,11:00 am - 12:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
