Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am Open now,Takes Reservations,No,Greystone Public House,https://www.yelp.com/adredir?ad_business_id=7rSZmkMVFLdFfGlBAYIiDA&campaign_id=QBoM1x6QvcKzBqO00vJJ8g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgreystone-public-house-harrisburg-2&request_id=0e9e3567714a4ac0&signature=12b035dbe176a7c6f69100e334f74b5a343ae00ac6328807bb28aeb9232ec21e&slot=0,LongHorn Steakhouse,https://www.yelp.com/biz/longhorn-steakhouse-mechanicsburg?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Tavern On the Hill,https://www.yelp.com/adredir?ad_business_id=yudgE0exRHkngxYpcDKBuw&campaign_id=oaHmLrxqpYxBWDbPf1UuwQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftavern-on-the-hill-enola&request_id=0e9e3567714a4ac0&signature=ea9bbf4b1d81bbab5152332a85b51aa74c589d748f8ec912076ebf0bfffbad17&slot=1,Quaker Steak & Lube,https://www.yelp.com/biz/quaker-steak-and-lube-mechanicsburg?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,The Brewhouse Grille,https://www.yelp.com/biz/the-brewhouse-grille-camp-hill?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 1:00 am,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 12:00 am,Parking,Private Lot,,,,
,,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
