Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:30 am - 11:00 pm,Takes Reservations,Yes,,,TGI Fridays,https://www.yelp.com/biz/tgi-fridays-southbank?page_src=related_bizes
Tue,11:30 am - 11:00 pm,Delivery,No,,,Meatmaiden,https://www.yelp.com/biz/meatmaiden-melbourne?page_src=related_bizes
Wed,11:30 am - 11:00 pm,Take-out,Yes,,,The Meatball & Wine Bar,https://www.yelp.com/biz/the-meatball-and-wine-bar-melbourne?page_src=related_bizes
Thu,11:30 am - 11:00 pm,Accepts Apple Pay,Yes,,,,
Fri,11:30 am - 12:00 am,Accepted Cards,Credit,,,,
Sat,11:30 am - 12:00 am,Good For,Dessert,,,,
Sun,11:30 am - 11:00 pm,Parking,"Garage, Street",,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
,,Legal ID,'n/a',,,,
