Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am,Takes Reservations,Yes,Chuck & Irene’s Hotel & Bar,https://www.yelp.com/adredir?ad_business_id=aNkrtUDL32xzmrUjsSTxFA&campaign_id=XMi_2D6ZLlJuXVeRmSe-rQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchuck-and-irenes-hotel-and-bar-hammond&request_id=a31cee3e45fb2244&signature=e1f1554b8e6eb71923dc51c5aa36cc08899c32028ced1f87a2785a7f1e76359b&slot=0,LongHorn Steakhouse,https://www.yelp.com/biz/longhorn-steakhouse-merrillville?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,Gelsosomo’s Pizzeria,https://www.yelp.com/adredir?ad_business_id=llx2bUIGgoNeUpzWNz3YQA&campaign_id=jztDKIx9-k_ogys7JcsB4g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgelsosomos-pizzeria-crown-point&request_id=a31cee3e45fb2244&signature=a45b47e10a313fc6a43920b436fd3799e872c93d5f8ec0cbde584fe5bcaa95c2&slot=1,Sheffield’s Restaurant,https://www.yelp.com/biz/sheffields-restaurant-merrillville?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Tavern On Main,https://www.yelp.com/biz/tavern-on-main-crown-point?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Good For,"Brunch, Lunch, Dessert",,,,
Sat,11:00 am - 1:00 am,Bike Parking,No,,,,
Sun,11:00 am - 12:00 am,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
