Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am,Takes Reservations,No,Atlanta Bread,https://www.yelp.com/adredir?ad_business_id=lST61D2y5oRX8HxMzCRWhQ&campaign_id=VFMYCL0DCt1FS7KBIQ4R6g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fatlanta-bread-mobile-2&request_id=5a0f740990afcbec&signature=b8b96b855f88c8c0c3d96ecba25446b19c7a4351f2ea444564f30cfdfce9131e&slot=0,Mugshots Grill & Bar,https://www.yelp.com/biz/mugshots-grill-and-bar-mobile?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,,,Heroes Sports Bar & Grille - West Mobile,https://www.yelp.com/biz/heroes-sports-bar-and-grille-west-mobile-mobile?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Lucky Irish Pub & Grill,https://www.yelp.com/biz/lucky-irish-pub-and-grill-mobile?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Bike Parking,No,,,,
Sat,11:00 am - 2:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 1:00 am,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
