Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,Yes,Happy’s Pizza,https://www.yelp.com/adredir?ad_business_id=OhsjjZeRRLIDRbpjsyIucw&campaign_id=U8iH_3uUb2pIjOQySZcLSg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhappys-pizza-cincinnati&request_id=2f453a4670fef6ad&signature=c18f92e769c6764be7b6a6d455a7bc705ecce3349f929bb6426d0ada420d7f11&slot=0,JW’s Sports Cafe,https://www.yelp.com/biz/jws-sports-cafe-sharonville?page_src=related_bizes
,,Delivery,No,Alabama Que,https://www.yelp.com/adredir?ad_business_id=bvRU9XNtgMjPOo6SEAaFTQ&campaign_id=bsB9TopNvzJZ4ROnK8MpVg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Falabama-que-cincinnati-2&request_id=2f453a4670fef6ad&signature=134852aff47435c1b4335a789dc208e84d83ba1d3eb9d77b21006447afd7db6b&slot=1,Chili’s,https://www.yelp.com/biz/chilis-springdale-3?page_src=related_bizes
,,Take-out,Yes,,,Brick House Bar & Grill,https://www.yelp.com/biz/brick-house-bar-and-grill-sharonville-3?page_src=related_bizes
,,Accepts Credit Cards,Yes,,,,
,,Accepts Apple Pay,Yes,,,,
,,Parking,Private Lot,,,,
,,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
