Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
,,Takes Reservations,Yes,,,Smoke Haus,https://www.yelp.com/biz/smoke-haus-swansea?page_src=related_bizes
,,Delivery,No,,,Eddie Rockets City Diner,https://www.yelp.com/biz/eddie-rockets-city-diner-swansea?page_src=related_bizes
,,Take-out,No,,,Frankie and Bennys,https://www.yelp.com/biz/frankie-and-bennys-swansea?page_src=related_bizes
,,Accepted Cards,"Credit, Debit",,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Has TV,Yes,,,,
