,code,Male to Female,Foreign to Local,Male,Female,Local,Foreign,High Network,Low Network,Connoisseur,Food Aestheticist,Patrons,First Visit,Visual Importance,Female Importance,Foreign Importance,Average Customer Network,Total Network,Number of Reviewers,lat,lon
0,AK,2.2,0.4,2.4,2.6,2.6,2.2,2.6,2.2,2.6,2.8,2.2,2.2,0.6,0.0,4.2,34.4,1999.0,47.4,61.997563419811,-149.3189615284102
1,AL,0.5384615384615384,1.8076923076923077,2.0,2.1923076923076925,2.3076923076923075,2.1923076923076925,2.1923076923076925,2.1538461538461537,2.3076923076923075,2.6538461538461537,2.076923076923077,2.1538461538461537,1.0,3.0384615384615383,39.38461538461539,65.15384615384616,2320.8076923076924,38.61538461538461,33.207446340329014,-86.66013659967327
2,AR,1.0833333333333333,3.8333333333333335,2.5833333333333335,2.3333333333333335,2.8333333333333335,2.4166666666666665,2.5833333333333335,2.3333333333333335,2.6666666666666665,2.8333333333333335,2.1666666666666665,2.5,0.8333333333333334,1.1666666666666667,96.0,57.916666666666664,1692.5,34.583333333333336,35.540483197918384,-92.94847483595015
3,AZ,0.4098360655737705,2.1639344262295084,2.4262295081967213,2.5081967213114753,2.377049180327869,2.5245901639344264,2.6557377049180326,2.2459016393442623,2.6065573770491803,2.7868852459016393,2.3278688524590163,2.459016393442623,0.7049180327868853,0.5901639344262295,7.868852459016393,87.8688524590164,10541.983606557376,116.47540983606558,33.40787256874343,-111.9792323396847
4,CA,0.17559523809523808,5.898809523809524,2.4523809523809526,2.4672619047619047,2.443452380952381,2.4375,2.636904761904762,2.2708333333333335,2.6398809523809526,2.7261904761904763,2.3392857142857144,2.425595238095238,1.0982142857142858,0.6696428571428571,15.044642857142858,134.9375,49086.69047619047,347.3363095238095,35.128733056039636,-119.07981692012757
5,CO,0.5869565217391305,2.1739130434782608,2.347826086956522,2.4565217391304346,2.4565217391304346,2.4130434782608696,2.608695652173913,2.0869565217391304,2.5869565217391304,2.6956521739130435,2.130434782608696,2.4565217391304346,0.30434782608695654,1.173913043478261,12.717391304347826,70.65217391304348,5862.04347826087,78.67391304347827,39.74787291436372,-105.10357527750048
6,CT,0.5,14.166666666666666,2.25,2.2916666666666665,2.25,2.2083333333333335,2.375,2.0416666666666665,2.5,2.625,2.1666666666666665,2.1666666666666665,0.6666666666666666,0.5416666666666666,16.958333333333332,63.166666666666664,5264.5,74.29166666666667,41.56033344919259,-72.84293929119737
7,DC,0.0,2.6666666666666665,2.3333333333333335,2.3333333333333335,2.0,2.3333333333333335,2.3333333333333335,2.0,2.6666666666666665,2.6666666666666665,2.0,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,159.33333333333334,19271.333333333332,187.66666666666666,38.92269017396354,-77.05806851864914
8,DE,0.6666666666666666,4.444444444444445,2.4444444444444446,2.111111111111111,2.5555555555555554,2.3333333333333335,2.5555555555555554,2.111111111111111,2.7777777777777777,3.0,2.5555555555555554,2.3333333333333335,1.1111111111111112,1.6666666666666667,58.55555555555556,41.111111111111114,1738.7777777777778,37.55555555555556,39.331469757255,-75.58393219235515
9,FL,0.3888888888888889,3.5925925925925926,2.3703703703703702,2.419753086419753,2.4135802469135803,2.4074074074074074,2.493827160493827,2.265432098765432,2.5617283950617282,2.7037037037037037,2.388888888888889,2.3580246913580245,1.2098765432098766,1.376543209876543,8.808641975308642,80.53703703703704,8978.061728395061,97.4074074074074,27.78258962765999,-81.65344785825434
10,GA,0.47560975609756095,3.951219512195122,2.048780487804878,2.073170731707317,2.1097560975609757,2.097560975609756,2.3292682926829267,1.8414634146341464,2.3292682926829267,2.524390243902439,2.182926829268293,2.0609756097560976,0.8170731707317073,5.219512195121951,32.75609756097561,67.8048780487805,5317.1463414634145,61.41463414634146,33.516673325821664,-83.94808603689275
11,HI,0.0,4.0,2.75,2.75,2.6875,2.75,2.8125,2.6875,2.875,3.0,2.75,2.625,2.125,0.6875,7.3125,131.5625,56407.625,393.5625,21.31833396423836,-157.82663091418553
12,IA,1.0,3.727272727272727,2.5454545454545454,2.727272727272727,2.4545454545454546,2.5454545454545454,2.909090909090909,2.3636363636363638,2.8181818181818183,3.0,2.0,2.5454545454545454,0.8181818181818182,1.1818181818181819,58.81818181818182,58.45454545454545,1658.8181818181818,24.727272727272727,41.72127629751643,-92.03381189783835
13,ID,0.5384615384615384,2.230769230769231,2.3846153846153846,2.6153846153846154,2.3846153846153846,2.5384615384615383,2.6153846153846154,2.230769230769231,2.6923076923076925,3.0,2.0,2.4615384615384617,0.5384615384615384,1.4615384615384615,153.76923076923077,55.92307692307692,2751.769230769231,46.61538461538461,43.7002374411306,-115.159854898479
14,IL,0.6122448979591837,4.346938775510204,2.326530612244898,2.489795918367347,2.316326530612245,2.4081632653061225,2.5510204081632653,2.193877551020408,2.561224489795918,2.704081632653061,2.1530612244897958,2.377551020408163,0.5612244897959183,2.489795918367347,29.73469387755102,75.10204081632654,7118.989795918367,82.25510204081633,41.4688480129427,-88.35695461843899
15,IN,0.7692307692307693,2.519230769230769,2.3653846153846154,2.423076923076923,2.3461538461538463,2.3461538461538463,2.5576923076923075,2.2884615384615383,2.6538461538461537,2.7884615384615383,2.0576923076923075,2.3461538461538463,0.5576923076923077,2.1153846153846154,15.615384615384615,52.19230769230769,2064.8076923076924,35.67307692307692,40.13118290424045,-86.42556613006923
16,KS,0.8333333333333334,5.0,2.2777777777777777,2.4444444444444446,2.1666666666666665,2.4444444444444446,2.3333333333333335,2.2777777777777777,2.5,2.611111111111111,2.2222222222222223,2.2222222222222223,0.16666666666666666,2.2222222222222223,7.777777777777778,43.611111111111114,2538.9444444444443,37.388888888888886,38.44537152917227,-96.58960483510843
17,KY,0.7407407407407407,2.4814814814814814,2.2222222222222223,2.4814814814814814,2.185185185185185,2.3333333333333335,2.5185185185185186,2.1481481481481484,2.5185185185185186,2.6296296296296298,2.185185185185185,2.259259259259259,1.5185185185185186,2.2222222222222223,74.0,59.074074074074076,2905.6296296296296,43.888888888888886,38.11280537828788,-85.38686823121826
18,LA,0.42857142857142855,2.8095238095238093,1.8571428571428572,2.0,1.8095238095238095,1.9523809523809523,2.142857142857143,1.8571428571428572,2.238095238095238,2.5238095238095237,1.9523809523809523,1.9047619047619047,1.2857142857142858,1.1428571428571428,26.666666666666668,64.0952380952381,4396.809523809524,55.666666666666664,30.450938702104676,-91.20488052410225
19,MA,0.7,6.6,2.15,2.1333333333333333,2.2,2.0833333333333335,2.316666666666667,2.0166666666666666,2.35,2.5,2.183333333333333,2.05,1.6333333333333333,0.7666666666666667,129.06666666666666,60.28333333333333,6926.916666666667,91.93333333333334,42.28244346908157,-71.32800178602066
20,MD,0.3137254901960784,5.1568627450980395,2.156862745098039,2.215686274509804,2.156862745098039,2.156862745098039,2.3137254901960786,1.9803921568627452,2.4901960784313726,2.607843137254902,2.156862745098039,2.0980392156862746,0.8627450980392157,0.8431372549019608,204.80392156862746,72.15686274509804,9778.372549019608,112.94117647058823,39.100057998063875,-76.84915721321734
21,ME,1.0,5.0,2.3333333333333335,3.0,2.6666666666666665,2.6666666666666665,3.0,2.3333333333333335,3.3333333333333335,3.3333333333333335,2.0,2.6666666666666665,0.6666666666666666,3.0,6.333333333333333,51.0,1541.6666666666667,33.0,44.0555771635669,-70.21804696082243
22,MI,0.5584415584415584,4.545454545454546,2.1818181818181817,2.324675324675325,2.2987012987012987,2.2337662337662336,2.5324675324675323,2.038961038961039,2.4545454545454546,2.6363636363636362,2.0,2.2337662337662336,0.4805194805194805,1.3896103896103895,40.36363636363637,54.61038961038961,3054.1428571428573,44.96103896103896,42.67898072233912,-84.0431868019563
23,MN,0.6129032258064516,2.129032258064516,2.5806451612903225,2.3225806451612905,2.4193548387096775,2.5161290322580645,2.4516129032258065,2.3548387096774195,2.4838709677419355,2.6774193548387095,2.032258064516129,2.4838709677419355,0.9354838709677419,2.193548387096774,8.419354838709678,42.483870967741936,1625.516129032258,33.61290322580645,44.98908889762128,-93.33969927256794
24,MO,0.3333333333333333,2.8181818181818183,2.3333333333333335,2.6363636363636362,2.3333333333333335,2.4545454545454546,2.5757575757575757,2.212121212121212,2.6666666666666665,2.787878787878788,2.121212121212121,2.4242424242424243,0.5757575757575758,1.0303030303030303,23.484848484848484,61.121212121212125,3935.3333333333335,46.696969696969695,38.69330574973768,-92.0082080294414
25,MS,1.1666666666666667,3.7222222222222223,1.8888888888888888,2.1666666666666665,2.2222222222222223,1.9444444444444444,2.0555555555555554,2.0,2.0555555555555554,2.3333333333333335,1.9444444444444444,1.9444444444444444,0.4444444444444444,1.7777777777777777,26.555555555555557,34.333333333333336,687.3333333333334,19.055555555555557,32.968473261571155,-89.34661253046232
26,MT,0.5,1.3333333333333333,2.1666666666666665,2.1666666666666665,2.3333333333333335,2.3333333333333335,2.5,1.8333333333333333,2.5,2.8333333333333335,2.0,2.1666666666666665,0.5,2.3333333333333335,6.5,33.666666666666664,922.1666666666666,25.166666666666668,46.11889838463685,-110.78899970657183
27,NC,0.5423728813559322,2.542372881355932,2.169491525423729,2.135593220338983,2.169491525423729,2.1186440677966103,2.3728813559322033,1.9322033898305084,2.406779661016949,2.6271186440677967,2.0677966101694913,2.152542372881356,0.7796610169491526,1.152542372881356,13.59322033898305,59.40677966101695,3673.3898305084745,58.983050847457626,35.548617305122384,-79.7346159965055
28,ND,0.5,2.5,1.75,2.25,3.0,1.75,2.25,2.0,2.25,3.0,2.0,2.25,0.5,2.75,90.25,31.75,667.25,20.25,47.214432325000004,-98.42163565
29,NE,0.7857142857142857,1.1428571428571428,2.2857142857142856,2.357142857142857,2.0714285714285716,2.4285714285714284,2.357142857142857,2.142857142857143,2.357142857142857,2.7142857142857144,2.0714285714285716,2.2857142857142856,0.6428571428571429,2.642857142857143,4.642857142857143,42.92857142857143,1279.2142857142858,26.5,41.259918991547345,-97.81268702372218
30,NH,1.8461538461538463,4.538461538461538,2.076923076923077,2.3076923076923075,2.076923076923077,2.1538461538461537,2.3076923076923075,1.9230769230769231,2.230769230769231,2.5384615384615383,2.0,2.1538461538461537,0.7692307692307693,1.0,13.153846153846153,48.30769230769231,1702.3846153846155,33.92307692307692,43.12594330340224,-71.30925606509575
31,NJ,0.5294117647058824,7.952941176470588,2.164705882352941,2.1882352941176473,2.211764705882353,2.164705882352941,2.3529411764705883,1.9411764705882353,2.376470588235294,2.552941176470588,2.0,2.1294117647058823,0.7176470588235294,2.3294117647058825,74.01176470588236,73.81176470588235,7255.364705882353,83.09411764705882,40.452034800309114,-74.47155588249214
32,NM,0.17647058823529413,2.588235294117647,2.176470588235294,2.0588235294117645,2.1176470588235294,2.235294117647059,2.2941176470588234,1.8235294117647058,2.4705882352941178,2.7058823529411766,2.235294117647059,2.1176470588235294,0.7058823529411765,2.7058823529411766,46.11764705882353,64.58823529411765,4328.941176470588,64.70588235294117,34.91661111529955,-106.13304637450196
33,NV,0.08333333333333333,2.0,2.8333333333333335,2.75,2.7083333333333335,2.8333333333333335,2.9166666666666665,2.6666666666666665,2.9166666666666665,2.9583333333333335,2.6666666666666665,2.7916666666666665,1.4583333333333333,0.8333333333333334,1.75,128.33333333333334,35709.833333333336,278.9166666666667,36.933305758332416,-116.31929541534686
34,NY,0.4789915966386555,7.1344537815126055,2.1596638655462184,2.176470588235294,2.235294117647059,2.2100840336134455,2.3529411764705883,2.0252100840336134,2.4201680672268906,2.6050420168067228,2.226890756302521,2.1596638655462184,0.9327731092436975,0.9495798319327731,51.88235294117647,78.9327731092437,8586.596638655463,89.83193277310924,41.67888856936693,-74.72412566465142
35,OH,0.8481012658227848,2.9873417721518987,2.430379746835443,2.430379746835443,2.481012658227848,2.3544303797468356,2.607594936708861,2.2151898734177213,2.632911392405063,2.8354430379746836,2.1772151898734178,2.4430379746835444,0.5949367088607594,1.5822784810126582,36.78481012658228,49.278481012658226,2959.3417721518986,52.075949367088604,40.39636825067751,-83.05761960131393
36,OK,0.42857142857142855,2.142857142857143,2.4642857142857144,2.392857142857143,2.642857142857143,2.392857142857143,2.5,2.25,2.5,2.7142857142857144,2.142857142857143,2.4285714285714284,1.1071428571428572,2.6785714285714284,16.607142857142858,64.0,2519.1785714285716,35.92857142857143,35.511361388445664,-96.93309208480403
37,OR,0.3548387096774194,2.096774193548387,2.3548387096774195,2.4516129032258065,2.3548387096774195,2.3870967741935485,2.6451612903225805,2.2903225806451615,2.6774193548387095,2.870967741935484,2.2580645161290325,2.3225806451612905,0.6129032258064516,0.7096774193548387,5.0,57.903225806451616,8257.806451612903,116.48387096774194,44.91416392469162,-122.75530079267925
38,PA,0.6470588235294118,4.754901960784314,2.343137254901961,2.372549019607843,2.372549019607843,2.3823529411764706,2.5392156862745097,2.156862745098039,2.5686274509803924,2.656862745098039,2.1372549019607843,2.3333333333333335,0.803921568627451,1.7058823529411764,79.09803921568627,76.2843137254902,4611.3725490196075,54.42156862745098,40.33825277771994,-77.15069871425078
39,RI,0.5555555555555556,4.111111111111111,2.2222222222222223,2.2222222222222223,2.4444444444444446,2.2222222222222223,2.4444444444444446,2.111111111111111,2.5555555555555554,2.5555555555555554,2.2222222222222223,2.3333333333333335,0.7777777777777778,1.5555555555555556,5.666666666666667,66.88888888888889,5474.0,85.33333333333333,41.743238537594394,-71.4657109797481
40,SC,0.6875,2.6875,1.9375,2.1875,2.25,2.0,2.0,2.0,2.125,2.1875,2.125,2.0,0.375,1.0,31.4375,49.5625,1723.875,39.6875,34.21721281993675,-80.89603269337033
41,SD,1.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,3.5,3.0,2.0,2.5,0.5,0.5,19.0,14.0,339.5,17.0,44.2008848265221,-96.9247055013715
42,TN,0.5952380952380952,2.119047619047619,2.2142857142857144,2.238095238095238,2.380952380952381,2.261904761904762,2.4761904761904763,2.0952380952380953,2.5714285714285716,2.738095238095238,2.0952380952380953,2.238095238095238,1.2380952380952381,1.6666666666666667,49.54761904761905,68.78571428571429,3008.404761904762,47.57142857142857,35.69779871114231,-86.9195328746651
43,TX,0.47783251231527096,2.8866995073891624,2.226600985221675,2.3201970443349755,2.310344827586207,2.29064039408867,2.477832512315271,2.0935960591133007,2.477832512315271,2.600985221674877,2.1724137931034484,2.2561576354679804,0.7881773399014779,1.1083743842364533,17.428571428571427,71.53694581280789,7696.995073891626,88.7487684729064,31.044053749025114,-97.07123260724168
44,UT,0.9047619047619048,3.238095238095238,2.3333333333333335,2.4761904761904763,2.380952380952381,2.380952380952381,2.619047619047619,2.238095238095238,2.4761904761904763,2.6666666666666665,2.0952380952380953,2.380952380952381,0.5714285714285714,0.5714285714285714,12.476190476190476,81.04761904761905,6040.666666666667,73.23809523809524,40.56557675598195,-111.98536631498754
45,VA,0.6805555555555556,3.3055555555555554,2.0833333333333335,2.2777777777777777,2.1944444444444446,2.2083333333333335,2.4444444444444446,2.013888888888889,2.4722222222222223,2.611111111111111,2.1527777777777777,2.111111111111111,0.9444444444444444,1.0416666666666667,9.11111111111111,67.16666666666667,8309.375,107.02777777777777,38.03937800702759,-77.51183283530631
46,VT,1.0,8.5,3.0,2.0,2.0,2.5,3.0,1.5,2.5,2.5,2.5,2.5,1.5,6.0,259.0,43.5,936.0,23.0,44.03202305,-73.0337915
47,WA,1.98,2.44,2.26,2.28,2.22,2.34,2.5,2.1,2.6,2.76,2.1,2.24,0.54,1.78,8.66,62.8,11668.36,150.38,47.3988678726292,-121.86233025812803
48,WI,0.5384615384615384,2.2051282051282053,2.230769230769231,2.3076923076923075,2.282051282051282,2.2564102564102564,2.4358974358974357,2.230769230769231,2.4615384615384617,2.769230769230769,2.051282051282051,2.3076923076923075,0.5897435897435898,9.282051282051283,37.46153846153846,52.48717948717949,2311.3333333333335,38.205128205128204,43.50018792664519,-88.77559613748038
49,WV,1.0769230769230769,3.8461538461538463,2.076923076923077,2.076923076923077,2.076923076923077,2.1538461538461537,2.0,2.1538461538461537,2.076923076923077,2.5384615384615383,2.0,2.0,1.3076923076923077,1.5384615384615385,73.38461538461539,50.0,1007.8461538461538,21.076923076923077,38.71613039813973,-80.51943344351922
50,WY,0.8,2.6,2.0,2.2,1.8,2.0,2.0,2.2,2.4,2.2,2.0,2.0,1.0,1.0,21.0,17.2,377.8,21.0,42.18231454365234,-105.5358287540234
